id,customer,product,qty,price,date,email,phone,region
1,Cust1,ProdB,2.0,60.0,2026-04-02,c1@test.com,+1000000001,S
2,Cust2,ProdC,3.0,70.0,2026-04-03,c2@test.com,+1000000002,E
3,Cust3,ProdA,4.0,80.0,2026-04-04,c3@test.com,+1000000003,W
4,Cust4,ProdB,5.0,90.0,2026-04-05,c4@test.com,+1000000004,N
5,Cust5,ProdC,6.0,100.0,2026-04-06,c5@test.com,+1000000005,S
6,Cust6,ProdA,7.0,110.0,2026-04-07,c6@test.com,+1000000006,E
7,Cust7,ProdB,8.0,120.0,2026-04-08,c7@test.com,+1000000007,W
8,Cust8,ProdC,9.0,130.0,2026-04-09,c8@test.com,+1000000008,N
9,Cust9,ProdA,10.0,140.0,2026-04-10,c9@test.com,+1000000009,S
10,Cust10,ProdB,1.0,150.0,2026-04-11,c10@test.com,+1000000010,E
11,Cust11,ProdC,2.0,160.0,2026-04-12,c11@test.com,+1000000011,W
12,Cust12,ProdA,3.0,170.0,2026-04-13,c12@test.com,+1000000012,N
13,Cust13,ProdB,4.0,180.0,2026-04-14,c13@test.com,+1000000013,S
14,Cust14,ProdC,5.0,190.0,2026-04-15,c14@test.com,+1000000014,E
15,Cust15,ProdA,6.0,200.0,2026-04-16,c15@test.com,+1000000015,W
16,Cust16,ProdD,,200.0,2026-04-16,bad-email,+10000016,N
17,Cust17,ProdE,-5.0,300.0,2026-04-17,c17@test.com,+10000017,S
18,Cust18,ProdF,8.0,-150.0,invalid-date,c18@test.com,+10000018,E
19,Cust19,ProdA,12.0,450.0,2026-04-19,c19@test.com,+10000019,W
20,Cust20,ProdB,,500.0,2026-04-20,invalid-email-format,+10000020,N
21,Cust21,ProdC,7.0,350.0,2026-04-21,c21@test.com,+10000021,S
22,Cust22,ProdD,-3.0,275.0,2026-04-22,c22@test.com,+10000022,E
23,Cust23,ProdE,15.0,625.0,2026-04-23,c23@test.com,+10000023,W
24,Cust24,ProdA,1.0,50.0,2026-04-24,c24@test.com,+100000024,N
25,Cust25,ProdB,2.0,70.0,2026-04-25,c25@test.com,+100000025,S
26,Cust26,ProdC,3.0,90.0,2026-04-26,c26@test.com,+100000026,E
27,Cust27,ProdD,4.0,110.0,2026-04-27,c27@test.com,+100000027,W
28,Cust28,ProdE,5.0,130.0,2026-04-28,c28@test.com,+100000028,N
29,Cust29,ProdA,6.0,150.0,2026-04-29,c29@test.com,+100000029,S
30,Cust30,ProdB,7.0,170.0,2026-04-30,c30@test.com,+100000030,E
31,Cust31,ProdC,8.0,190.0,2026-05-01,c31@test.com,+100000031,W
32,Cust32,ProdD,9.0,210.0,2026-05-02,c32@test.com,+100000032,N
33,Cust33,ProdE,10.0,230.0,2026-05-03,c33@test.com,+100000033,S
34,Cust34,ProdA,11.0,250.0,2026-05-04,c34@test.com,+100000034,E
35,Cust35,ProdB,12.0,270.0,2026-05-05,c35@test.com,+100000035,W
36,Cust36,ProdC,13.0,290.0,2026-05-06,c36@test.com,+100000036,N
37,Cust37,ProdD,14.0,310.0,2026-05-07,c37@test.com,+100000037,S
38,Cust38,ProdE,15.0,330.0,2026-05-08,c38@test.com,+100000038,E
39,Cust39,ProdA,1.0,350.0,2026-05-09,c39@test.com,+100000039,W
40,Cust40,ProdB,2.0,370.0,2026-05-10,c40@test.com,+100000040,N
41,Cust41,ProdC,3.0,390.0,2026-05-11,c41@test.com,+100000041,S
42,Cust42,ProdD,4.0,410.0,2026-05-12,c42@test.com,+100000042,E
43,Cust43,ProdE,5.0,430.0,2026-05-13,c43@test.com,+100000043,W
44,Cust44,ProdA,6.0,450.0,2026-05-14,c44@test.com,+100000044,N
45,Cust45,ProdB,7.0,470.0,2026-05-15,c45@test.com,+100000045,S
46,Cust46,ProdC,8.0,490.0,2026-05-16,c46@test.com,+100000046,E
47,Cust47,ProdD,9.0,510.0,2026-05-17,c47@test.com,+100000047,W
48,Cust48,ProdE,10.0,530.0,2026-05-18,c48@test.com,+100000048,N
49,Cust24,ProdA,1.0,50.0,2026-04-24,c24@test.com,+100000024,N
50,Cust25,ProdB,2.0,70.0,2026-04-25,c25@test.com,+100000025,S
51,Cust26,ProdC,3.0,90.0,2026-04-26,c26@test.com,+100000026,E
52,Cust27,ProdD,4.0,110.0,2026-04-27,c27@test.com,+100000027,W
53,Cust28,ProdE,5.0,130.0,2026-04-28,c28@test.com,+100000028,N
54,Cust29,ProdA,6.0,150.0,2026-04-29,c29@test.com,+100000029,S
55,Cust30,ProdB,7.0,170.0,2026-04-30,c30@test.com,+100000030,E
56,Cust31,ProdC,8.0,190.0,2026-05-01,c31@test.com,+100000031,W
57,Cust32,ProdD,9.0,210.0,2026-05-02,c32@test.com,+100000032,N
58,Cust33,ProdE,10.0,230.0,2026-05-03,c33@test.com,+100000033,S
59,Cust34,ProdA,11.0,250.0,2026-05-04,c34@test.com,+100000034,E
60,Cust35,ProdB,12.0,270.0,2026-05-05,c35@test.com,+100000035,W
61,Cust36,ProdC,13.0,290.0,2026-05-06,c36@test.com,+100000036,N
