id,customer,product,qty,price,date,email,phone,region
1,Cust1,ProdB,2.0,60.0,2026-04-02,7ec70f667adacb2203c699e5206d3420bdfacb4f3fae99b9cac72b7a67030e3c,d5d726715e67da6b6a87f1e80fb189f5e1b89f1caa852b9237abe0a0a00b9acf,S
2,Cust2,ProdC,3.0,70.0,2026-04-03,cfe08e4037519d8468ce2c054da69f459acd07d12cdfb7730b4fba7c9f128b1f,016932fb5ad727a680b8ad58e8bbbf6a0f1b4664bb925daaf33970f9f62e780a,E
3,Cust3,ProdA,4.0,80.0,2026-04-04,34de12b154fb1cabd5363640cad82228748e2aa781fa7061e423b3b3374127ef,486f179760779fb796d1fc2ef7a044db71c5408659ee583049d535f363d17606,W
4,Cust4,ProdB,5.0,90.0,2026-04-05,2ba2779eeb72b3a63bf3ad835286faf06fd646617d9ee28eb9b87990c091b92f,74471fcd5518bb7337ecbdca8a43064c0f76ff2eacd449cfe9aaa7e4e09dea25,N
5,Cust5,ProdC,6.0,100.0,2026-04-06,7a23d651850eef6f96c089baf843d9e1550fb23077067c7815034a5c619d516b,1dd52842c3b7679b05c813706c79ee4dbc6025bd88b38c06e9d81a5e30d7ae10,S
6,Cust6,ProdA,7.0,110.0,2026-04-07,5a98b1e021a9c876aeb6ad2c85d8f2ffb25da5f2ea52af16584a73b8a72bf0af,e597b0451c4d114360a47119b9b1b31b5465a31335e53b0b394e46623de7c5e1,E
7,Cust7,ProdB,8.0,120.0,2026-04-08,c0a78356fbe145c5caa20e7399b4b9d4b6c9ab28e7d11b01ec063bab57b1fa12,6d574c5e11e5ff75c820a8454127d2878cf71d57c945b2ae8fe4ee57bb46990e,W
8,Cust8,ProdC,9.0,130.0,2026-04-09,160aa9fc92802834c1d0f47629c5f46619b36c8491a00301e71e744afca00d3f,419e8ab5b6a6c28e6cb07933ffe948376c7a1ca7a08af4ebecaacfbbfc08d2fa,N
9,Cust9,ProdA,10.0,140.0,2026-04-10,44177fa3a95b3657d8b26d32344b03a2e087e23e523d3fdef1bf2acf7e2c5ce8,03b04dad627a2d39e06333403e2e90dd2dfcd2aa157314ebdc72c46734d7ae3c,S
10,Cust10,ProdB,1.0,150.0,2026-04-11,ce8d0bb068681b3d97ca64e7070d3cd6737eb040cc3f24ddc8b2f59e2d97d88c,24543aaa0e0a516265f7d7c74ad7c351d31f772d02907727e67dd08d7d9a068c,E
11,Cust11,ProdC,2.0,160.0,2026-04-12,fcdca5a66eb9147999787b1818bba6fb99538d8079ee312d10b262fc15d3958f,e5edbebf59830326dbb2e0e1a6af277927e5b0a691d607ae8cb98bdac698406d,W
12,Cust12,ProdA,3.0,170.0,2026-04-13,43a8231b7c9dcc29f90af8e77d87b68ea0a57c807c2fd95a5d4fa5d59cbd6199,f51e61dfd083e5d9f1aa0684265a14fb497742de7a6986da92dae5cd2ea837bd,N
13,Cust13,ProdB,4.0,180.0,2026-04-14,71f6e2582331c7254d03dd63dc6ee8e91987e4b0236d3f13c9b4f088ec07f0f5,f1dbeb8d4de598b79a7f03702b2c8e1ad27df1c8d47f4a1b012fcd1be6e677f7,S
14,Cust14,ProdC,5.0,190.0,2026-04-15,a8301af64a6142d50e5df0d1b5e7117e783fc9b48454e69b30aca3e6d623d032,7c2932cd205974cc75f69d6027902baeaf01070f0978d69aa5e2eb8d4634313f,E
15,Cust15,ProdA,6.0,200.0,2026-04-16,a81b4eda76ccdfd1fd357246782f04e3aa6e46ec13db27386ca4ec18aeb66130,5b10e049fd555dfea9ada09793dca00044255d00de1cda8a365b333217885738,W
16,Cust16,ProdD,,200.0,2026-04-16,c104db44e7b9705b105438353eefae462265041659ed60261735c0021f7bc361,ee052c6b034f7b51a7b845c7b79d41c1ceaac054cb6f8de55a7937249bd20fb1,N
17,Cust17,ProdE,-5.0,300.0,2026-04-17,b0e8615c41ef357f2b0447c16139501310f9ef774706d6361ae4fae37a7966d5,d47533b174e93c9a61c3894690da3f0cdd6a37c259147234775fe5286bd1b367,S
18,Cust18,ProdF,8.0,-150.0,invalid-date,80d1541ad26071116587bd25d5f848bf87066b49ba5f283a06a92a702b287e60,807ccd4c53c37267ac1b58e31ae577aa36e08c94e1ca2c5333cf1f4e7ec3774a,E
19,Cust19,ProdA,12.0,450.0,2026-04-19,029c03260ac15c6003e32606efc2e0074f0ad9cf6b3ec58ac9992b8c90608272,aba14eb272c4112ddfc8afa9278161a14ac29a63f6c1c7451d1b5d6dd4e87017,W
20,Cust20,ProdB,,500.0,2026-04-20,5e92e6b46cc3cbdcee6e67d287b65b6803f6002904a2450307e1d647df2b25d5,b864f38ac7bcce07d2d2b6f4ee9a4d4e710319f8f05e04fc4624a3799e163d43,N
21,Cust21,ProdC,7.0,350.0,2026-04-21,cb34bb1a88e47284e60f12aa780d3f5cce3e6de04f8c52a608ace435336faff5,22d3a0b7e839cbdd2b1129fc7e434e6b3cf024f6378902d9542130f9a3cc738a,S
22,Cust22,ProdD,-3.0,275.0,2026-04-22,65f15f28cd8fe7e696a634685b4b8d752ce73138b4d4a0439fda15be5e5d6df2,ebd2291a3590d7afa8a6604c6e11bfb2b348461df176b06679aad7cc552aab5b,E
23,Cust23,ProdE,15.0,625.0,2026-04-23,1d176c947af2998e4fc7c4e6e3383c01bd3f0bb151ec0c788df78fd1bfc86c39,99da9ad903cec52829371f49c7fedaebc9145f6227df734ad54f2455ca218163,W
24,Cust24,ProdA,1.0,50.0,2026-04-24,a98785a605f326ca7201ac4ee87ee103c740d2291392c3ce3736bb96509b65bb,1b9648ddc7844382db249669bc62645966fd66a3b0bb9cd77be6928f2d2f333b,N
25,Cust25,ProdB,2.0,70.0,2026-04-25,4c692c49740249803c0aa395c53379549593bcc22c16509908283f63796e5df2,18a6264e4cdf00ffacf2f8a2c21d3cabad8814cfd3127e28e48f974a3b984602,S
26,Cust26,ProdC,3.0,90.0,2026-04-26,dc72800366b17b116f32d338675b3eb81aacb0ac790e483da8f7bb3c9c004dfd,aa74b04b9d489972dcb209515c8ff8dc88386e9ce1b00245d8c5a606a2f841e7,E
27,Cust27,ProdD,4.0,110.0,2026-04-27,fac1b343b246eb14d8b42078b86703c92c4bfd3e76418ed3ebb08f151c8d156f,e2b2a4dcf8546ac5850b08bec40cbb19b031e8fa9f0a346ace4c6828c2b6ba2b,W
28,Cust28,ProdE,5.0,130.0,2026-04-28,202e7b9ed8501277a34aeefa009afb0d91515f13b24d0428f023d0dda7ef8412,dc507e93109ec8c94de1c7190a4981c3e4d853ef53d0f565f4285156870d40e8,N
29,Cust29,ProdA,6.0,150.0,2026-04-29,fca9eb081249f6487846604b4fe09317f8dfb25e2440e9d4e672b335e7577190,f44864fb7bfac4c41051fa0ebcf51807b1d34438cd16b08dc66f101fc21b70cb,S
30,Cust30,ProdB,7.0,170.0,2026-04-30,440925c3234a1000a8b1bf8c5e41e3a6691dcf943a5c7ef19f9152a853a1058e,8f19d7f9ff781a96568e2730a8889d5aa4f881ab943f39e502acc9ac7c3d87bd,E
31,Cust31,ProdC,8.0,190.0,2026-05-01,e6b500348e07538a4033811e6275fb282835ecd7acef6f77d76a6c7b37db568c,77d25bd3d9206b2e49510339e08d0b7a7cc24fcffb8fba736069560099df9590,W
32,Cust32,ProdD,9.0,210.0,2026-05-02,4d0812f170d587309f68579ed10749a0b568b0fe99d11003416a237473326d8a,f0542530ce41ca49321fc22d6b98d144ac28816bc1f5452d33afaf187abfa6ec,N
33,Cust33,ProdE,10.0,230.0,2026-05-03,1bbd88b488a8e2bcc2694b5acbda2ab5e365ff3dceb4601dc3f6c8856bee8ee9,0cf7b619b0f8493fbaf36667c4d3e7ee270a7d363d5f697776a0911cbfad9441,S
34,Cust34,ProdA,11.0,250.0,2026-05-04,caff99ec669c1219cc778f6fff858174cc8196583a6d179a793ad14ed62525f3,4061e7b4c9005606e2cbce747278dc6922790d4284b68e00825082b9e6f12357,E
35,Cust35,ProdB,12.0,270.0,2026-05-05,b4750e6bda6616017e5672e8480c51271514dfa66a0f96f45b1053f9702b3e82,3fd0a3cf4d3de1b671535b6e236ec45a2a309573afd74cb9fafad6d6eb03e099,W
36,Cust36,ProdC,13.0,290.0,2026-05-06,e930053cb06568e48eb3ccf9ecba331aaa9c4ef500e416512fd6baab9aa9207d,f427249a905defa8f4de2284ea5eb6b3973d1c342dafc0813668c0500b8e2a85,N
37,Cust37,ProdD,14.0,310.0,2026-05-07,e972948a00b4325516af21017d2260d9cdb94549c2826d3b303364e64fe48cbb,6057cf3f453f8f9a01ffe7d6f85f350edd61c323ba62ceeafa89773eedfc01ce,S
38,Cust38,ProdE,15.0,330.0,2026-05-08,348ccf1d402937bf6d90414f0ee9dcd95b596a0986b3b630ddca946c43323a24,5040658b41b9ba72f24ffae2f9142beb4e48612622e0ea8e78f0f873ba5ba6db,E
39,Cust39,ProdA,1.0,350.0,2026-05-09,84150bd1c72f2c1e9b0ced661ca1c22aaf780272ed82dd8dd1a9dd7d7460579b,505bc728016020731439e4d6807e5b451ccb2651452ce1c60b6667dd944e91a7,W
40,Cust40,ProdB,2.0,370.0,2026-05-10,34788dc6a987c8a52a3526adb823f689ac7b45529067989a994925386f04ac88,662ae3467fe91f58f69b629645a04ff41764669ae8cb35e90320cf70c17ea2be,N
41,Cust41,ProdC,3.0,390.0,2026-05-11,d7094417aefdf69c3f8cc2af29c88358bcaa4b13f198c3b3e955253c105a1cbc,f699ffa4eda598c1f62e28f1f70e61f65508198b3bc1e43b556ee8a03273a1a6,S
